label,prediction,ec3
1,0.9999998807907104,1
1,0.9999997615814209,1
1,0.9999998807907104,1
1,1.0,1
1,0.9999997615814209,1
1,0.9999995231628418,1
1,0.9999998807907104,1
1,0.9999970197677612,1
1,0.9999997615814209,1
1,0.9999990463256836,1
1,0.9999998807907104,1
1,0.9999998807907104,1
1,0.9999994039535522,1
1,0.9999998807907104,1
1,0.0031996441539376974,1
1,0.9999998807907104,1
1,0.9999992847442627,1
1,0.9999998807907104,1
1,1.0,1
1,0.9999756813049316,1
1,0.9999675750732422,1
1,0.9999997615814209,1
1,0.9999998807907104,1
1,0.9999996423721313,1
1,0.9999985694885254,1
1,0.9999997615814209,1
1,0.9999998807907104,1
1,0.9999998807907104,1
1,0.9999997615814209,1
1,0.9999997615814209,1
1,1.0,1
1,0.9999984502792358,1
1,1.0,1
1,0.003593395696952939,1
1,0.9999996423721313,1
1,0.9999997615814209,1
1,0.9999997615814209,1
1,0.9999998807907104,1
1,0.39397749304771423,1
1,0.9999998807907104,1
1,1.0,1
1,0.999998927116394,1
1,0.9999972581863403,1
1,0.9999980926513672,1
1,0.9279430508613586,1
1,0.9999997615814209,1
1,0.9999994039535522,1
1,0.999997615814209,1
1,0.9999991655349731,1
1,1.0,1
1,0.9999998807907104,1
1,0.9726005792617798,1
1,0.0036155376583337784,1
1,0.9999998807907104,1
1,0.9999986886978149,1
1,0.9999986886978149,1
1,0.9999998807907104,1
1,0.9999978542327881,1
1,0.999998927116394,1
1,0.9999998807907104,1
1,0.9999984502792358,1
1,0.9999997615814209,1
1,0.9999998807907104,1
1,0.9999998807907104,1
1,0.9999998807907104,1
1,0.9999983310699463,1
1,0.9999998807907104,1
1,0.9999996423721313,1
1,0.9999978542327881,1
1,0.9999998807907104,1
1,0.9999794960021973,1
1,0.9999998807907104,1
1,0.9998823404312134,1
1,0.9999998807907104,1
1,0.9999998807907104,1
1,0.9999998807907104,1
1,1.0,1
1,0.9999998807907104,1
1,0.9999994039535522,1
1,1.0,1
1,0.9999998807907104,1
1,0.9999983310699463,1
1,0.9999997615814209,1
1,0.9999998807907104,1
1,0.9999995231628418,1
1,0.9999997615814209,1
1,0.9999994039535522,1
1,0.9999970197677612,1
1,1.0,1
1,0.9999997615814209,1
1,0.0032027680426836014,1
1,0.9999997615814209,1
1,0.999994158744812,1
1,1.0,1
1,0.9999996423721313,1
1,0.9999998807907104,1
1,0.9999998807907104,1
1,0.9999998807907104,1
1,0.005214940756559372,1
1,0.9999998807907104,1
0,1.2708955e-06,2
0,3.4442694e-06,2
0,1.0327792e-07,3
0,4.13704e-06,1
0,2.6216902e-08,2
0,5.0786102e-06,1
0,5.91883e-06,2
0,1.0561664e-07,2
0,5.2466527e-05,2
0,2.2869195e-07,3
0,3.3368335e-05,2
0,5.833606e-07,3
0,3.22895e-08,3
0,9.614486e-08,2
0,1.6503527e-06,99
0,1.1653717e-07,2
0,1.0579426e-07,3
0,8.463559e-06,2
0,5.4856713e-07,3
0,3.880158e-07,3
0,9.574954e-07,2
0,4.7502652e-08,2
0,6.020587e-08,3
0,8.889301e-08,2
0,1.1364711e-07,3
0,6.716265e-06,2
0,5.4038364e-06,2
0,7.2550625e-07,1
0,7.408571e-08,2
0,1.3029494e-07,3
0,7.612405e-08,2
0,1.1749044e-06,1
0,1.7787734e-07,2
0,4.860189e-08,3
0,5.2747646e-07,3
0,6.31197e-07,2
0,5.2077263e-07,3
0,8.701818e-08,2
0,8.316468e-06,1
0,0.005602989,2
0,1.0448895e-07,3
0,1.598761e-07,3
0,5.4637272e-08,2
0,4.518096e-08,2
0,4.7493922e-06,2
0,2.3577057e-07,3
0,2.5280764e-07,3
0,1.0609717e-07,3
0,9.868316e-08,3
0,0.00062439503,1
0,4.779859e-06,2
0,7.974597e-08,2
0,1.117434e-06,1
0,5.6379777e-06,1
0,1.5852212e-06,1
0,7.996972e-08,2
0,1.7047032e-06,1
0,2.0949659e-07,3
0,2.526628e-07,2
0,8.704523e-08,2
0,4.8991865e-08,3
0,1.00528794e-07,2
0,6.4158165e-08,2
0,9.263138e-05,2
0,1.9820378e-05,2
0,2.5280764e-07,3
0,5.3939743e-07,99
0,1.09693495e-07,2
0,2.7565602e-06,1
0,3.8564767e-08,2
0,1.13896114e-07,3
0,1.8848012e-06,3
0,4.367299e-07,2
0,3.5274635e-07,3
0,3.5765808e-07,3
0,8.955536e-08,2
0,7.612405e-08,2
0,1.0646246e-05,2
0,1.1165622e-07,3
0,5.390308e-07,1
0,1.0115871e-07,2
0,5.2855185e-06,2
0,1.4954611e-06,99
0,4.19091e-06,2
0,1.5587734e-06,2
0,7.5672115e-06,1
0,3.6996237e-08,3
0,3.031621e-07,1
0,9.041856e-06,1
0,5.9276813e-06,2
0,6.9833886e-06,2
0,1.8734112e-07,2
0,1.5610451e-06,2
0,7.280063e-08,2
0,9.328905e-08,2
0,6.369373e-08,3
0,1.6248037e-05,2
0,4.374995e-07,3
0,1.9141337e-06,2
0,1.3074603e-07,2
0,1.173316e-05,1
0,1.579077e-07,3
0,2.7368431e-08,3
0,7.234771e-08,2
0,4.9251616e-06,1
0,6.247036e-08,2
0,1.013317e-06,3
0,3.2929188e-07,3
